Time,ID,Pixel_X,Pixel_Y,Norm_X,Norm_Y,Norm_Z,World_X,World_Y,World_Z
0.0,0,445,356,0.5223932266235352,0.11886197328567505,-0.07128752022981644,0.021384848281741142,-0.599096417427063,-0.02545410767197609
0.0,1,449,349,0.5363482236862183,0.10626554489135742,-0.019683120772242546,0.03778887167572975,-0.6349636912345886,-0.01595604605972767
0.0,2,452,349,0.545422375202179,0.10706084966659546,-0.01945345476269722,0.03719908744096756,-0.6351075172424316,-0.01773945242166519
0.0,3,456,350,0.5545263886451721,0.10821893811225891,-0.01931953988969326,0.03754925727844238,-0.6353282928466797,-0.01571619138121605
0.0,4,440,349,0.5097505450248718,0.1063670814037323,-0.011465948075056076,0.004495595581829548,-0.6355139017105103,-0.014918724074959755
0.0,5,437,349,0.49965253472328186,0.10726520419120789,-0.011670973151922226,0.006636332720518112,-0.6363760232925415,-0.014945242553949356
0.0,6,433,350,0.48909837007522583,0.10857504606246948,-0.011427430436015129,0.006243214011192322,-0.6352754235267639,-0.011069520376622677
0.0,7,459,355,0.5637539029121399,0.11754268407821655,0.24284586310386658,0.09904523193836212,-0.6346734166145325,0.07036710530519485
0.0,8,428,357,0.47323882579803467,0.12085714936256409,0.28734055161476135,-0.033631324768066406,-0.6370676159858704,0.09263148903846741
0.0,9,450,364,0.5378096103668213,0.13435810804367065,0.02412450686097145,0.04049747437238693,-0.5780544877052307,-0.000580858439207077
0.0,10,438,365,0.5040583610534668,0.13626524806022644,0.036219749599695206,0.0020980359986424446,-0.5772783160209656,0.007142082322388887
0.0,11,489,403,0.6529434323310852,0.2077350914478302,0.2721567451953888,0.16968269646167755,-0.48684027791023254,0.08410631865262985
0.0,12,394,398,0.3740771412849426,0.19894370436668396,0.3499436676502228,-0.1241045668721199,-0.46881741285324097,0.12297508120536804
0.0,13,514,427,0.7264653444290161,0.2532586455345154,-0.16057635843753815,0.26690852642059326,-0.38708561658859253,-0.04380374774336815
0.0,14,359,432,0.2706725597381592,0.2630114257335663,-0.04831073433160782,-0.2559633255004883,-0.3379351794719696,-0.0014486185973510146
0.0,15,552,402,0.8358345627784729,0.20577776432037354,-0.7906947135925293,0.3413664996623993,-0.407443642616272,-0.26710033416748047
0.0,16,319,399,0.15479490160942078,0.2000458538532257,-0.7002999782562256,-0.34114453196525574,-0.4008987843990326,-0.21378788352012634
0.0,17,566,395,0.8771878480911255,0.19321447610855103,-0.9031383991241455,0.3608132004737854,-0.40962114930152893,-0.3142577111721039
0.0,18,308,390,0.12085346132516861,0.1835923194885254,-0.8243505954742432,-0.36800694465637207,-0.4209999740123749,-0.2669830024242401
0.0,19,564,391,0.8716054558753967,0.18552812933921814,-0.9201902747154236,0.35343122482299805,-0.42884090542793274,-0.32615557312965393
0.0,20,309,385,0.12398457527160645,0.17336270213127136,-0.8423642516136169,-0.36051663756370544,-0.4523179829120636,-0.26943710446357727
0.0,21,557,394,0.8521496057510376,0.19060340523719788,-0.818109929561615,0.33799034357070923,-0.416083425283432,-0.28250652551651
0.0,22,312,386,0.13429945707321167,0.1769598424434662,-0.7307093143463135,-0.33753642439842224,-0.4125758707523346,-0.22392407059669495
0.0,23,468,541,0.5917084217071533,0.46875953674316406,-0.015068874694406986,0.09814384579658508,-0.0046256841160357,-0.009050970897078514
0.0,24,407,544,0.4125898778438568,0.47359055280685425,0.014941181987524033,-0.09860210865736008,0.0040634796023368835,0.009406328201293945
0.0,25,514,649,0.7264392971992493,0.6709789633750916,-0.18184664845466614,0.22863395512104034,0.35260722041130066,-0.07043454796075821
0.0,26,388,661,0.3569720983505249,0.6943454146385193,-0.15790970623493195,-0.15549984574317932,0.3710932433605194,-0.06539696455001831
0.0,27,559,762,0.8581444621086121,0.884319543838501,-0.06905736029148102,0.356158047914505,0.700477659702301,-0.03919157013297081
0.0,28,375,777,0.3192138075828552,0.9116048812866211,-0.03011612594127655,-0.21049220860004425,0.7431938052177429,-0.02161209098994732
0.0,29,557,777,0.8531344532966614,0.9122132062911987,-0.07816103845834732,0.372329980134964,0.7449443340301514,-0.04657585173845291
0.0,30,379,793,0.3287515342235565,0.941638708114624,-0.03875457122921944,-0.21545758843421936,0.7872474193572998,-0.025999771431088448
0.0,31,575,795,0.9038386344909668,0.9470013380050659,-0.4351549446582794,0.43296241760253906,0.8001171946525574,-0.16960394382476807
0.0,32,356,805,0.2638705372810364,0.9646434187889099,-0.3888779282569885,-0.2572241425514221,0.8456441760063171,-0.1489333063364029
0.047293676312968914,0,446,356,0.526817798614502,0.1171037033200264,-0.05572938919067383,0.021031903102993965,-0.6043540835380554,-0.019937271252274513
0.047293676312968914,1,450,351,0.5409038662910461,0.10603255033493042,-0.0009547527879476547,0.03732207044959068,-0.639975905418396,-0.009093677625060081
0.047293676312968914,2,453,351,0.5500732064247131,0.10672664642333984,-0.0007529060821980238,0.03673243522644043,-0.6401124596595764,-0.010883649811148643
0.047293676312968914,3,456,352,0.5592309236526489,0.10792820900678635,-0.0005873917834833264,0.03707890212535858,-0.6403335332870483,-0.008871040306985378
0.047293676312968914,4,441,351,0.5140181183815002,0.1068871021270752,0.006369889713823795,0.003834999166429043,-0.6397609114646912,-0.00822764728218317
0.047293676312968914,5,438,352,0.504047155380249,0.1081368625164032,0.006160152610391378,0.005976533051580191,-0.6406317949295044,-0.008238686248660088
0.047293676312968914,6,434,353,0.4936036169528961,0.1097710058093071,0.006433966103941202,0.005590577609837055,-0.6395237445831299,-0.004354099277406931
