Time,ID,Pixel_X,Pixel_Y,Norm_X,Norm_Y,Norm_Z,World_X,World_Y,World_Z
0.0,0,753,34,0.7124058604240417,0.060040976852178574,0.24721170961856842,-0.13741818070411682,-0.5807364583015442,0.19721616804599762
0.0,1,751,27,0.7107466459274292,0.04792147874832153,0.20763111114501953,-0.14704933762550354,-0.6069474220275879,0.1609720140695572
0.0,2,749,27,0.7087350487709045,0.04862305521965027,0.20751206576824188,-0.1473325490951538,-0.6069326996803284,0.15960051119327545
0.0,3,746,27,0.7058939933776855,0.04863828420639038,0.20743919909000397,-0.1471027284860611,-0.6072679758071899,0.1615556925535202
0.0,4,759,25,0.7181985974311829,0.044683367013931274,0.22969502210617065,-0.12320300936698914,-0.6117821931838989,0.17054279148578644
0.0,5,763,24,0.721628725528717,0.04315778613090515,0.22950489819049835,-0.12131242454051971,-0.6130407452583313,0.1703951507806778
0.0,6,764,23,0.7228306531906128,0.04183545708656311,0.22950536012649536,-0.12204279005527496,-0.611865758895874,0.17455647885799408
0.0,7,745,26,0.7044507265090942,0.04679688811302185,0.06530884653329849,-0.15472763776779175,-0.5744516849517822,0.04366688430309296
0.0,8,771,26,0.7294774651527405,0.04675322771072388,0.15995998680591583,-0.04139213263988495,-0.5946460962295532,0.10105200111865997
0.0,9,753,43,0.7124415040016174,0.07622817158699036,0.20223014056682587,-0.14143149554729462,-0.549410879611969,0.15315008163452148
0.0,10,760,42,0.718400239944458,0.07500392198562622,0.23022447526454926,-0.10716873407363892,-0.5538263916969299,0.17031946778297424
0.0,11,718,76,0.6790677905082703,0.13411450386047363,-0.03986160829663277,-0.18416784703731537,-0.43212080001831055,-0.029714910313487053
0.0,12,828,84,0.7827838063240051,0.14823371171951294,0.17508332431316376,0.08249066025018692,-0.4514627158641815,0.10870946943759918
0.0,13,686,168,0.6488006114959717,0.2972649335861206,0.033785395324230194,-0.26365551352500916,-0.2334650307893753,0.041940975934267044
0.0,14,821,180,0.7761029601097107,0.31863534450531006,0.30708709359169006,0.10147121548652649,-0.21573840081691742,0.2149723321199417
0.0,15,680,194,0.643091082572937,0.34317120909690857,0.21838410198688507,-0.2922405004501343,-0.18016085028648376,0.17022086679935455
0.0,16,803,224,0.7591562867164612,0.3957090973854065,0.42700693011283875,-0.012864269316196442,-0.1250791996717453,0.32606425881385803
0.0,17,673,198,0.6362214088439941,0.34918373823165894,0.2267468124628067,-0.3010696768760681,-0.18444405496120453,0.1719844937324524
0.0,18,797,227,0.7539626955986023,0.40129387378692627,0.45409780740737915,-0.03507529944181442,-0.1298302263021469,0.3362976610660553
0.0,19,684,191,0.6465699672698975,0.3377838432788849,0.21947434544563293,-0.26952576637268066,-0.20276497304439545,0.16222599148750305
0.0,20,783,225,0.7401527762413025,0.3967099189758301,0.4319206476211548,-0.051940470933914185,-0.1359139382839203,0.3233618140220642
0.0,21,690,191,0.6528985500335693,0.33709055185317993,0.22254043817520142,-0.2790502607822418,-0.18813937902450562,0.17075490951538086
0.0,22,783,224,0.7403433322906494,0.39557212591171265,0.4205424189567566,-0.024427970871329308,-0.1237446516752243,0.32418519258499146
0.0,23,775,276,0.7332867383956909,0.4861873984336853,-0.08671540021896362,-0.06553836166858673,0.002626521047204733,-0.06702496856451035
0.0,24,829,274,0.7836904525756836,0.48395559191703796,0.08637014776468277,0.06448224931955338,-0.0033255587331950665,0.06775583326816559
0.0,25,724,422,0.6851480007171631,0.7430568933486938,-0.01980958692729473,-0.1610599160194397,0.3029767572879791,0.02448178268969059
0.0,26,821,423,0.7763147950172424,0.7447324991226196,0.15735475718975067,0.03016088902950287,0.3545035421848297,0.14635881781578064
0.0,27,723,548,0.683753252029419,0.9659023284912109,-0.01966632716357708,-0.1600954234600067,0.6684836149215698,0.03457176312804222
0.0,28,835,552,0.7896550893783569,0.9724854230880737,0.18542231619358063,0.05569450929760933,0.7329326272010803,0.19010411202907562
0.0,29,759,568,0.7179318070411682,1.0007154941558838,-0.01659189909696579,-0.1618076115846634,0.7126451730728149,0.035106170922517776
0.0,30,829,580,0.7839964628219604,1.0227807760238647,0.1879565715789795,0.05078795552253723,0.7747045755386353,0.19406256079673767
0.0,31,691,549,0.6536632776260376,0.9672428369522095,-0.050459105521440506,-0.2580433785915375,0.7402832508087158,0.015190547332167625
0.0,32,777,591,0.7347553372383118,1.0410614013671875,0.16840480268001556,-0.056983575224876404,0.8013822436332703,0.1880301684141159
0.03324354243542435,0,758,30,0.7166224718093872,0.0536113977432251,0.25492584705352783,-0.12031727284193039,-0.6090455055236816,0.20106753706932068
0.03324354243542435,1,756,22,0.7152332663536072,0.039469603449106216,0.2175787389278412,-0.1250067502260208,-0.6332863569259644,0.16489209234714508
0.03324354243542435,2,753,22,0.7121955156326294,0.03979230299592018,0.2174902707338333,-0.1253102868795395,-0.6332793235778809,0.1634717881679535
0.03324354243542435,3,749,22,0.7085447311401367,0.04012203961610794,0.2174312174320221,-0.12514720857143402,-0.6336601972579956,0.16548587381839752
0.03324354243542435,4,766,22,0.7242081165313721,0.03902726620435715,0.23823004961013794,-0.10020660609006882,-0.6373191475868225,0.17576012015342712
0.03324354243542435,5,769,21,0.7275617122650146,0.038561977446079254,0.2380344569683075,-0.09827075153589249,-0.6385946869850159,0.17562636733055115
0.03324354243542435,6,772,21,0.7305268049240112,0.038102105259895325,0.2380148470401764,-0.09897853434085846,-0.6374611854553223,0.1797499656677246
0.03324354243542435,7,746,25,0.7056770920753479,0.044770900160074234,0.08160442113876343,-0.1290247142314911,-0.5902677774429321,0.045467015355825424
