Time,Hip_Y,Squat_State
0.2145369052886963,335.5,unknown
0.272031307220459,335.0,unknown
0.3016245365142822,335.0,unknown
0.3345916271209717,334.5,unknown
0.370586633682251,334.0,unknown
0.4121897220611572,334.0,unknown
0.4452202320098877,334.0,unknown
0.4702188968658447,334.0,unknown
0.5047454833984375,334.0,unknown
0.533750057220459,333.5,unknown
0.5637476444244385,333.5,unknown
0.5963828563690186,333.5,unknown
0.6263535022735596,333.5,unknown
0.658350944519043,333.5,unknown
0.6903901100158691,333.5,unknown
0.7209408283233643,333.5,unknown
0.752465009689331,333.5,unknown
0.7845025062561035,334.0,unknown
0.8180711269378662,334.5,unknown
0.8540728092193604,334.5,unknown
0.8800573348999023,334.5,unknown
0.9116344451904297,335.0,unknown
0.9455924034118652,335.0,unknown
0.9786105155944824,335.0,unknown
1.0091230869293213,335.0,unknown
1.0371348857879639,335.0,unknown
1.0681240558624268,335.0,unknown
1.099229097366333,335.0,unknown
1.1292293071746826,335.0,unknown
1.1582581996917725,335.0,unknown
1.1906960010528564,335.0,down
1.230362892150879,335.0,down
1.2655930519104004,334.0,up
1.300140619277954,332.5,up
1.3301422595977783,331.5,up
1.3611059188842773,330.5,up
1.3951237201690674,331.0,up
1.4245641231536865,331.0,up
1.4533054828643799,331.5,up
1.4901692867279053,332.0,up
1.5176751613616943,332.0,up
1.549715518951416,336.0,down
1.5799353122711182,337.0,down
1.6125614643096924,339.5,down
1.644322395324707,341.0,down
1.680373191833496,342.5,down
1.7184650897979736,345.0,down
1.7499356269836426,346.5,down
1.7800495624542236,347.0,down
1.8133468627929688,348.0,down
1.848161220550537,352.0,down
1.8777499198913574,354.0,down
1.908463716506958,354.0,down
1.9360394477844238,355.5,down
1.9665498733520508,358.0,down
2.002777576446533,360.0,down
2.03302001953125,360.0,down
2.0679893493652344,362.0,down
2.097121000289917,364.0,down
2.1303558349609375,367.5,down
2.1573398113250732,370.5,down
2.1880290508270264,373.5,down
2.2211456298828125,373.0,down
2.2589263916015625,374.5,down
2.2955992221832275,375.5,down
2.3254120349884033,379.0,down
2.357834577560425,382.0,down
2.3875420093536377,383.0,down
2.4200687408447266,383.5,down
2.449252128601074,383.5,down
2.480668544769287,384.5,down
2.511033296585083,386.5,down
2.544847011566162,386.0,down
2.5797200202941895,386.5,down
2.6091208457946777,387.5,down
2.6397650241851807,389.0,down
2.669280767440796,389.5,down
2.7002146244049072,389.5,down
2.7307791709899902,390.0,down
2.7642767429351807,388.5,down
2.7958803176879883,388.0,down
2.82645583152771,388.0,down
2.8610212802886963,387.5,down
2.903409719467163,388.0,down
2.9345996379852295,388.5,down
2.9638893604278564,390.5,down
2.995171070098877,390.0,down
3.0259242057800293,391.0,down
3.057196855545044,391.5,down
3.089914560317993,391.0,down
3.1213417053222656,391.0,down
3.15934419631958,391.0,down
3.1883127689361572,391.0,down
3.2198245525360107,391.0,down
3.2528607845306396,388.5,down
3.2828733921051025,389.0,down
3.314291477203369,389.0,down
3.3462917804718018,388.5,down
3.3783252239227295,388.5,down
3.4178168773651123,388.5,down
3.4568543434143066,388.5,down
3.4888980388641357,390.0,down
3.518444538116455,390.0,down
3.5524439811706543,390.0,down
3.5884578227996826,389.5,down
3.6149818897247314,387.5,down
3.647979974746704,387.0,down
3.6829888820648193,386.5,down
3.7244949340820312,384.5,down
3.754530906677246,383.5,down
3.7833149433135986,383.5,down
3.8164427280426025,383.0,down
3.851451873779297,383.0,down
3.8829171657562256,383.0,down
3.9144320487976074,382.0,down
3.946431875228882,381.5,down
3.9759867191314697,380.5,down
4.005032300949097,380.0,down
4.035311937332153,379.0,down
4.067309617996216,378.0,down
4.1016845703125,377.0,down
4.141569137573242,376.0,down
4.187593221664429,376.0,down
4.2178425788879395,337.0,up
4.250843286514282,335.0,up
4.296356201171875,335.0,up
4.342369079589844,334.5,up
4.371365785598755,332.5,up
4.40088963508606,338.0,up
4.431890964508057,336.0,up
4.463891267776489,338.0,up
4.494931697845459,338.5,up
4.5240232944488525,339.0,up
4.555022716522217,337.5,up
4.586035490036011,335.0,up
4.619184255599976,336.5,up
4.647185802459717,337.0,up
4.679183721542358,337.5,up
4.710705995559692,336.5,up
4.742707014083862,336.5,up
4.773704767227173,335.5,up
4.8056418895721436,336.5,up
4.836657285690308,338.0,up
4.8666582107543945,338.5,up
4.898176670074463,338.0,up
4.929176092147827,337.5,up
4.960177421569824,335.5,up
4.990180969238281,336.0,up
5.021691560745239,336.5,up
5.052694797515869,336.5,up
5.0827014446258545,336.5,up
5.114211082458496,336.5,up
5.145210027694702,336.5,up
5.176211357116699,335.0,up
5.20955491065979,335.0,up
5.238760232925415,334.5,up
5.268723964691162,332.5,up
5.302246809005737,330.0,up
5.33228325843811,330.0,up
5.363306283950806,331.5,up
5.39438271522522,333.0,up
5.425942659378052,334.5,up
5.456944465637207,334.5,up
5.485754728317261,334.5,up
5.527544975280762,334.5,up
5.567233085632324,333.5,up
5.603757858276367,337.0,up
5.627764463424683,336.5,up
5.6583356857299805,339.0,up
5.688456058502197,341.5,up
5.718745231628418,343.5,up
5.750027179718018,344.5,up
5.78161358833313,343.5,up
5.813848257064819,344.5,up
5.846455812454224,344.5,up
5.87482213973999,345.0,up
5.909610271453857,347.5,up
5.93732762336731,347.0,up
5.967611789703369,348.0,up
5.999001502990723,346.5,up
6.033316135406494,346.5,up
6.064908742904663,346.5,up
6.092591762542725,346.5,up
6.124069690704346,347.0,up
6.154924631118774,347.0,up
6.186635732650757,347.0,up
6.217252492904663,349.0,up
6.249131917953491,349.5,up
6.280387878417969,349.5,up
6.311965227127075,349.5,up
6.343087673187256,349.5,up
6.3734259605407715,348.0,up
6.405293226242065,348.0,up
6.436633825302124,346.0,up
6.470165967941284,347.5,up
6.5027265548706055,348.0,up
6.533661603927612,350.0,up
6.564257621765137,350.5,up
6.593634366989136,350.0,up
6.625877618789673,350.0,up
6.656984567642212,348.0,up
6.6936609745025635,341.5,up
6.726949691772461,341.5,up
6.750552415847778,341.5,up
6.781071662902832,339.0,up
6.815744161605835,338.0,up
6.844038486480713,336.0,up
6.876236915588379,337.0,up
6.906827688217163,334.5,up
6.9424707889556885,333.5,up
6.970916509628296,331.5,up
7.002684831619263,331.0,up
7.0314249992370605,329.5,up
7.064167022705078,327.0,up
7.145264148712158,317.0,up
7.174678564071655,312.5,up
7.205272674560547,312.5,up
7.236856937408447,316.0,up
7.268129825592041,316.0,up
7.298800706863403,319.5,up
7.330697298049927,323.5,up
7.363304853439331,325.5,up
7.392831802368164,326.5,up
7.424278020858765,330.0,up
7.457319021224976,328.5,up
7.490060091018677,328.5,up
7.521579027175903,328.5,up
7.553488254547119,333.5,up
7.586527347564697,338.5,up
7.618009805679321,337.0,up
7.649009943008423,337.5,up
7.679009675979614,339.5,up
7.71453857421875,341.0,up
7.743536949157715,343.0,up
7.774536609649658,345.0,up
7.806576251983643,344.5,up
7.838120698928833,344.0,up
7.870086431503296,344.5,up
7.90014386177063,345.5,up
7.932710409164429,346.5,up
7.964671850204468,346.5,up
7.996706247329712,346.5,up
8.029032230377197,346.5,up
8.060035943984985,346.0,up
8.09003233909607,341.5,up
8.119943618774414,341.5,up
8.150904417037964,341.5,up
8.183904647827148,341.0,up
8.217427253723145,340.5,up
8.250425577163696,338.5,up
8.281426906585693,338.0,up
8.312952041625977,338.0,up
8.353958129882812,340.0,up
8.383958101272583,318.0,up
8.417477369308472,319.0,up
8.448477029800415,316.5,up
8.479475975036621,310.0,up
8.509483098983765,305.5,up
8.54099416732788,302.0,up
8.573715209960938,297.5,up
8.601614713668823,292.5,up
8.638283967971802,293.0,up
8.667855262756348,292.5,up
8.698862552642822,291.5,up
8.730377197265625,293.0,up
8.757791519165039,292.5,up
8.790650606155396,292.5,up
8.820288896560669,291.5,up
8.851864576339722,289.5,up
8.885693550109863,289.0,up
8.913721084594727,288.0,up
8.946842908859253,287.0,up
8.976393699645996,286.5,up
9.008099794387817,287.5,up
9.038499355316162,287.5,up
9.0680410861969,287.5,up
9.098566770553589,287.0,up
9.13098931312561,286.0,up
9.161487340927124,285.5,up
9.192237854003906,286.0,up
9.223411560058594,285.0,up
9.254556655883789,285.0,up
9.283190488815308,284.0,up
9.315367937088013,282.5,up
9.348221778869629,282.0,up
9.377708911895752,281.0,up
9.410375595092773,281.5,up
9.441009044647217,282.5,up
9.47052788734436,283.0,up
9.50183367729187,283.0,up
9.533903360366821,282.5,up
9.565341234207153,282.5,up
9.594038248062134,282.5,up
9.626153469085693,283.0,up
